msj_ort;TAG;msj_stemm;msj_noplural;msj_noemoji;msj_emoji
casi   hora caminando rayo sol ;1;casi hor camin ray sol;casi hora caminando rayo sol;casi hora caminando rayo sol;         
el verano ya palpita  despues semana con temporal lluvia viento  mal tiempo historia  ;0;el veran ya palpit despu seman con temporal lluvi vient mal tiemp histori;el verano ya palpita despue semana con temporal lluvia viento mal tiempo historia;el verano ya palpita despues semana con temporal lluvia viento mal tiempo historia;                         
estudiar con lluvia    \U0001f4af ;1;estudi con lluvi \u0001f4af;estudiar con lluvia \u0001f4af;estudiar con lluvia  ;      \U0001f4af
tremendo como dejo ciudad tornado   ;1;tremend com dej ciud torn;tremendo como dejo ciudad tornado;tremendo como dejo ciudad tornado;         
que lindo fue dormir con encima llueva \u2764  \U0001f60d  lastima tuvimos subir nina porque ataco con tormentas  ;1;que lind fue dorm con encim lluev \u2764 \u0001f60d lastim tuv sub nin porqu atac con torment;que lindo fue dormir con encima llueva \u2764 \u0001f60d lastima tuvimo subir nina porque ataco con tormenta;que lindo fue dormir con encima llueva     lastima tuvimos subir nina porque ataco con tormentas;              \u2764 \U0001f60d                
si vas manejar con lluvia  tene cuenta estos consejos   ;0;si vas manej con lluvi ten cuent estos consej;si va manejar con lluvia tene cuenta esto consejo;si vas manejar con lluvia tene cuenta estos consejos;                 
bella lluvia ;1;bell lluvi;bella lluvia;bella lluvia;   
capaz si espero   deja llover   venia tormenta electrica   ;1;capaz si esper dej llov veni torment electr;capaz si espero deja llover venia tormenta electrica;capaz si espero deja llover venia tormenta electrica;               
que lindo terminar finde con lluvia ;1;que lind termin find con lluvi;que lindo terminar finde con lluvia;que lindo terminar finde con lluvia;           
los truenos thor llorando stan lee ah no ;0;los truen thor llor stan lee ah no;lo trueno thor llorando stan lee ah no;los truenos thor llorando stan lee ah no;               
la siembra tuvo importante avance semana pasada mantiene adelantada respecto año pasado  situacion cultivo regiones  pesar lluvias     ;0;la siembr tuv import avanc seman pas mantien adelant respect año pas situacion cultiv region pes lluvi;la siembra tuvo importante avance semana pasada mantiene adelantada respecto año pasado situacion cultivo regione pesar lluvia;la siembra tuvo importante avance semana pasada mantiene adelantada respecto año pasado situacion cultivo regiones pesar lluvias;                                 
que cosa linda dormir con aire acondicionado escuchando lluvia  faltaria venga leo ;1;que cos lind dorm con air acondicion escuch lluvi faltari veng leo;que cosa linda dormir con aire acondicionado escuchando lluvia faltaria venga leo;que cosa linda dormir con aire acondicionado escuchando lluvia faltaria venga leo;                       
escuchando lluvia fondo mientras admiro belleza perro ;1;escuch lluvi fond mientr admir bellez perr;escuchando lluvia fondo mientra admiro belleza perro;escuchando lluvia fondo mientras admiro belleza perro;             
   horas sin luz    corta cuando hace calor  frio  cuando llueve  cuando hay viento  hasta cuando  ;0;hor sin luz cort cuand hac calor fri cuand lluev cuand hay vient hast cuand;hora sin luz corta cuando hace calor frio cuando llueve cuando hay viento hasta cuando;horas sin luz corta cuando hace calor frio cuando llueve cuando hay viento hasta cuando;                             
despues tormenta siempre llega calma  pero  despues ti no hay nada ;0;despu torment siempr lleg calm per despu ti no hay nad;despue tormenta siempre llega calma pero despue ti no hay nada;despues tormenta siempre llega calma pero despues ti no hay nada;                     
con lluvia estaria bueno tener compañia \U0001f327 \U0001f497 ;1;con lluvi estari buen ten compañi \u0001f327 \u0001f497;con lluvia estaria bueno tener compañia \u0001f327 \u0001f497;con lluvia estaria bueno tener compañia    ;            \U0001f327 \U0001f497
si no parte rayo parto yo \U0001f63b \U0001f60d \U0001f60d  \u2014 nono tranquila ya parte rayo  ;0;si no part ray part yo \u0001f63b \u0001f60d \u0001f60d \u2014 non tranquil ya part ray;si no parte rayo parto yo \u0001f63b \u0001f60d \u0001f60d \u2014 nono tranquila ya parte rayo;si no parte rayo parto yo         nono tranquila ya parte rayo;            \U0001f63b \U0001f60d \U0001f60d \u2014          
traje novia casa anoche di comer  toque agarro sueño cuando durmio sali tomar birra con mis amigos vereda  despues fueron quede dormir con ella porque no iba dejar ir con tormenta  mata ternura dormir con esa chica \u2764 ;0;traj novi cas anoch di com toqu agarr sueñ cuand durmi sali tom birr con mis amig vered despu fueron qued dorm con ella porqu no iba dej ir con torment mat ternur dorm con esa chic \u2764;traje novia casa anoche di comer toque agarro sueño cuando durmio sali tomar birra con mi amigo vereda despue fueron quede dormir con ella porque no iba dejar ir con tormenta mata ternura dormir con esa chica \u2764;traje novia casa anoche di comer toque agarro sueño cuando durmio sali tomar birra con mis amigos vereda despues fueron quede dormir con ella porque no iba dejar ir con tormenta mata ternura dormir con esa chica  ;                                                                          \u2764
porque nos hace tanto ole tormenta    ;0;porqu nos hac tant ole torment;porque no hace tanto ole tormenta;porque nos hace tanto ole tormenta;           
hubo tornado cordoba         ;0;hub torn cordob;hubo tornado cordoba;hubo tornado cordoba;     
en trabajo gane voucher ir comer todavia no use  con lluvia mojo rompio todo  ustedes bien  ;0;en trabaj gan vouch ir com todavi no use con lluvi moj rompi tod usted bien;en trabajo gane voucher ir comer todavia no use con lluvia mojo rompio todo ustede bien;en trabajo gane voucher ir comer todavia no use con lluvia mojo rompio todo ustedes bien;                               
dios trueno ese  \U0001f62d ;1;dios truen ese \u0001f62d;dio trueno ese \u0001f62d;dios trueno ese  ;      \U0001f62d
   tiraron granizo      ;0;tir graniz;tiraron granizo;tiraron granizo;   
la tormenta llega festival vengan  ;0;la torment lleg festival veng;la tormenta llega festival vengan;la tormenta llega festival vengan;         
esa lluvia duro menos dura chongo ;1;esa lluvi dur men dur chong;esa lluvia duro meno dura chongo;esa lluvia duro menos dura chongo;           
que tormenta mierda  nos cago todo ;1;que torment mierd nos cag tod;que tormenta mierda no cago todo;que tormenta mierda nos cago todo;           
amo lluvia ;0;amo lluvi;amo lluvia;amo lluvia;   
esta lluvia culiada no quiere entender ;1;esta lluvi culi no quier entend;esta lluvia culiada no quiere entender;esta lluvia culiada no quiere entender;           
no cabe mas felicidad alma  despues tormenta sale sol \U0001f495 ;0;no cab mas felic alma despu torment sal sol \u0001f495;no cabe mas felicidad alma despue tormenta sale sol \u0001f495;no cabe mas felicidad alma despues tormenta sale sol  ;                  \U0001f495
amo dormir con lluvia   feliz ;1;amo dorm con lluvi feliz;amo dormir con lluvia feliz;amo dormir con lluvia feliz;         
daria fuera  despertarme madrugada con tormenta bien electrica  \u26a1 \u26a1 ;0;dari fuer despert madrug con torment bien electr \u26a1 \u26a1;daria fuera despertarme madrugada con tormenta bien electrica \u26a1 \u26a1;daria fuera despertarme madrugada con tormenta bien electrica    ;                \u26a1 \u26a1
lluvia podrias aflojar  ya suficiente  ;1;lluvi podri afloj ya suficient;lluvia podria aflojar ya suficiente;lluvia podrias aflojar ya suficiente;         
hay pronostico tormenta viejo preparando costillar     \U0001f340 good luck daddy \U0001f340 ;0;hay pronost torment viej prepar costill \u0001f340 good luck daddy \u0001f340;hay pronostico tormenta viejo preparando costillar \u0001f340 good luck daddy \u0001f340;hay pronostico tormenta viejo preparando costillar   good luck daddy  ;            \U0001f340       \U0001f340
me gustaria saber por que puta app clima dice hay tormentas electricas va llover cuando hay manso sol ;0;me gustari sab por que put app clim dic hay torment electr va llov cuand hay mans sol;me gustaria saber por que puta app clima dice hay tormenta electrica va llover cuando hay manso sol;me gustaria saber por que puta app clima dice hay tormentas electricas va llover cuando hay manso sol;                                   
lindo viajar con tormenta  no lloren  \U0001f614 ;1;lind viaj con torment no llor \u0001f614;lindo viajar con tormenta no lloren \u0001f614;lindo viajar con tormenta no lloren  ;            \U0001f614
mi mama escucha trueno automaticamente grita desenchufen wifi ;0;mi mam escuch truen automat grit desenchuf wifi;mi mama escucha trueno automaticamente grita desenchufen wifi;mi mama escucha trueno automaticamente grita desenchufen wifi;               
   otro dia flashie lluvia estrellas faltaba como semana  ;0;otro dia flashi lluvi estrell falt com seman;otro dia flashie lluvia estrella faltaba como semana;otro dia flashie lluvia estrellas faltaba como semana;               
que linda lluvia estrellas ;0;que lind lluvi estrell;que linda lluvia estrella;que linda lluvia estrellas;       
por ahora juega  campo juego drenando bien  problema seria tormenta electrica  ;1;por ahor jueg camp jueg dren bien problem seri torment electr;por ahora juega campo juego drenando bien problema seria tormenta electrica;por ahora juega campo juego drenando bien problema seria tormenta electrica;                     
con lluvia  mates   docena facturas  ;1;con lluvi mat docen factur;con lluvia mate docena factura;con lluvia mates docena facturas;         
loli sigue joda  rayos ;0;loli sig jod ray;loli sigue joda rayo;loli sigue joda rayos;       
gente sali correr despues   meses  mañana pronosticado lluvia con granizos terremotos fuertes ;0;gent sali corr despu mes mañan pronostic lluvi con graniz terremot fuert;gente sali correr despue mese mañana pronosticado lluvia con granizo terremoto fuerte;gente sali correr despues meses mañana pronosticado lluvia con granizos terremotos fuertes;                       
cuando llueve casa todo automatico onda ya saben no salgan camas pongan baldes donde gotee sujeten bien ventanas no vuele techo perfecta organizacion ;0;cuand lluev cas tod automat onda ya sab no salg cam pong bald dond gote sujet bien ventan no vuel tech perfect organizacion;cuando llueve casa todo automatico onda ya saben no salgan cama pongan balde donde gotee sujeten bien ventana no vuele techo perfecta organizacion;cuando llueve casa todo automatico onda ya saben no salgan camas pongan baldes donde gotee sujeten bien ventanas no vuele techo perfecta organizacion;                                             
a fondo  culpa barras  inundaciones  mapuches  grupos organizados tormenta sabanas  pollos anarcokirchneristas      van hacer renunciar ocampo   \U0001f914  se nota mucho   copa libertadores ;0;a fond culp barr inund mapuch grup organiz torment saban poll anarcokirchner van hac renunci ocamp \u0001f914 se not much cop libert;a fondo culpa barra inundacione mapuche grupo organizado tormenta sabana pollo anarcokirchnerista van hacer renunciar ocampo \u0001f914 se nota mucho copa libertadore;a fondo culpa barras inundaciones mapuches grupos organizados tormenta sabanas pollos anarcokirchneristas van hacer renunciar ocampo   se nota mucho copa libertadores;                                \U0001f914          
ninguna tormenta eterna ;0;ningun torment etern;ninguna tormenta eterna;ninguna tormenta eterna;     
pero puta madre lluvia orto   ;1;per put madr lluvi orto;pero puta madre lluvia orto;pero puta madre lluvia orto;         
mañana llueve  hasta hizo masajes  \U0001f631 \U0001f631 \U0001f631  ;0;mañan lluev hast hiz masaj \u0001f631 \u0001f631 \u0001f631;mañana llueve hasta hizo masaje \u0001f631 \u0001f631 \u0001f631;mañana llueve hasta hizo masajes      ;          \U0001f631 \U0001f631 \U0001f631
que pare tormenta loco concha madre ;1;que par torment loc conch madr;que pare tormenta loco concha madre;que pare tormenta loco concha madre;           
trueno vs dani  pierde  injustamente descendido  sea batallon   plata ;0;truen vs dani pierd injust descend sea batallon plat;trueno v dani pierde injustamente descendido sea batallon plata;trueno vs dani pierde injustamente descendido sea batallon plata;                 
magico siempre hora salir trabajar llueve  hdp  ;1;magic siempr hor sal trabaj lluev hdp;magico siempre hora salir trabajar llueve hdp;magico siempre hora salir trabajar llueve hdp;             
llega ser mentira lluvia estrellas cago tiros ;0;lleg ser mentir lluvi estrell cag tir;llega ser mentira lluvia estrella cago tiro;llega ser mentira lluvia estrellas cago tiros;             
